  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
     106_4             104.017             6.99928             161.706                   4             -9.2721              9.2721                 200                  20
     106_4             103.448             8.98919             90.9265                   3             43.6644             43.8293                 400                  40
     106_4                 103              28.277                 180                   1              123.39              123.39                 600                  60
     106_4             101.017             36.9996             90.7656                   1                   0        5.07572e-310                 800                  80
     106_4             101.017             36.9996             90.7656                   1                   0        5.07572e-310                1000                 100
     106_4             101.017             36.9996             90.7656                   1                   0        5.07572e-310                1200                 120
     106_4             102.955             37.0011             270.375                   3             14.8964             15.0564                1400                 140
     106_4             103.984             33.0018             311.792                   4              -14.64               14.64                1600                 160
     106_4             104.997             32.0275             272.035                   4             1.05821            -1.05821                1800                 180
     106_4                 106             15.2933             359.998                   1             73.3062             73.3062                2000                 200
     106_4                 106             8.76806                 360                   4             56.8222             56.8222                2200                 220
     106_4                 106              5.0221             271.634                   5            0.849707           -0.849707                2400                 240
     106_4             103.027             5.00014            0.457729                   0                   0                   0                2600                 260
     106_4             101.002             1.01557              7.0039                   2              -14.64               14.64                2800                 280
     106_4             79.7196             1.00001             89.9999                   1             123.335             123.335                3000                 300
     106_4              54.735                   1                  90                   1             123.586             123.586                3200                 320
     106_4             30.3118                   1                  90                   2             73.8186             73.8186                3400                 340
