  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
     27_13                  27                  13                   0                   0                   0                   0                 200                  20
     27_13                  27                  13                   0                   0                   0                   0                 400                  40
     27_13                  27                  13                   0                   0                   0                   0                 600                  60
     27_13                  27                  13                   0                   0                   0                   0                 800                  80
     27_13                  27                  13                   0                   0                   0                   0                1000                 100
     27_13                  27                  13                   0                   0                   0                   0                1200                 120
     27_13                  27                  13                   0                   0                   0                   0                1400                 140
     27_13                  27                  13                   0                   0                   0                   0                1600                 160
     27_13                  27                  13                   0                   0                   0                   0                1800                 180
     27_13                  27                  13                   0                   0                   0                   0                2000                 200
     27_13                  27                  13                   0                   0                   0                   0                2200                 220
     27_13                  27                  13                   0                   0                   0                   0                2400                 240
     27_13                  27                  13                   0                   0                   0                   0                2600                 260
     27_13                  27                  13                   0                   0                   0                   0                2800                 280
     27_13                  27                  13                   0                   0                   0                   0                3000                 300
     27_13                  27                  13                   0                   0                   0                   0                3200                 320
     27_13                  27                  13                   0                   0                   0                   0                3400                 340
     27_13                  27                  13                   0                   0                   0                   0                3600                 360
     27_13                  27                  13                   0                   0                   0                   0                3800                 380
     27_13                  27                  13                   0                   0                   0                   0                4000                 400
     27_13                  27                  13                   0                   0                   0                   0                4200                 420
     27_13                  27                  13                   0                   0                   0                   0                4400                 440
     27_13                  27                  13                   0                   0                   0                   0                4600                 460
     27_13                  27                  13                   0                   0                   0                   0                4800                 480
     27_13                  27                  13                   0                   0                   0                   0                5000                 500
     27_13                  27                  13                   0                   0                   0                   0                5200                 520
     27_13                  27                  13                   0                   0                   0                   0                5400                 540
     27_13                  27                  13                   0                   0                   0                   0                5600                 560
     27_13                  27                  13                   0                   0                   0                   0                5800                 580
     27_13                  27                  13                   0                   0                   0                   0                6000                 600
     27_13                  27                  13                   0                   0                   0                   0                6200                 620
     27_13                  27                  13                   0                   0                   0                   0                6400                 640
     27_13                  27                  13                   0                   0                   0                   0                6600                 660
     27_13                  27                  13                   0                   0                   0                   0                6800                 680
     27_13                  27                  13                   0                   0                   0                   0                7000                 700
     27_13                  27                  13                   0                   0                   0                   0                7200                 720
     27_13                  27                  13                   0                   0                   0                   0                7400                 740
     27_13                  27                  13                   0                   0                   0                   0                7600                 760
     27_13                  27                  13                   0                   0                   0                   0                7800                 780
     27_13                  27                  13                   0                   0                   0                   0                8000                 800
     27_13                  27                  13                   0                   0                   0                   0                8200                 820
     27_13                  27                  13                   0                   0                   0                   0                8400                 840
     27_13                  27                  13                   0                   0                   0                   0                8600                 860
     27_13                  27                  13                   0                   0                   0                   0                8800                 880
     27_13                  27                  13                   0                   0                   0                   0                9000                 900
     27_13                  27                  13                   0                   0                   0                   0                9200                 920
     27_13                  27                  13                   0                   0                   0                   0                9400                 940
     27_13                  27                  13                   0                   0                   0                   0                9600                 960
     27_13                  27                  13                   0                   0                   0                   0                9800                 980
     27_13                  27                  13                   0                   0                   0                   0               10000                1000
     27_13                  27                  13                   0                   0                   0                   0               10200                1020
     27_13                  27                  13                   0                   0                   0                   0               10400                1040
     27_13                  27                  13                   0                   0                   0                   0               10600                1060
     27_13                  27                  13                   0                   0                   0                   0               10800                1080
     27_13                  27                  13                   0                   0                   0                   0               11000                1100
     27_13                  27                  13                   0                   0                   0                   0               11200                1120
     27_13                  27                  13                   0                   0                   0                   0               11400                1140
     27_13                  27                  13                   0                   0                   0                   0               11600                1160
     27_13                  27                  13                   0                   0                   0                   0               11800                1180
     27_13                  27                  13                   0                   0                   0                   0               12000                1200
     27_13                  27                  13                   0                   0                   0                   0               12200                1220
     27_13                  27                  13                   0                   0                   0                   0               12400                1240
     27_13                  27                  13                   0                   0                   0                   0               12600                1260
     27_13                  27                  13                   0                   0                   0                   0               12800                1280
     27_13                  27                  13                   0                   0                   0                   0               13000                1300
     27_13                  27                  13                   0                   0                   0                   0               13200                1320
     27_13                  27                  13                   0                   0                   0                   0               13400                1340
     27_13                  27                  13                   0                   0                   0                   0               13600                1360
     27_13                  27                  13                   0                   0                   0                   0               13800                1380
     27_13                  27                  13                   0                   0                   0                   0               14000                1400
     27_13                  27                  13                   0                   0                   0                   0               14200                1420
     27_13                  27                  13                   0                   0                   0                   0               14400                1440
     27_13                  27                  13                   0                   0                   0                   0               14600                1460
     27_13                  27                  13                   0                   0                   0                   0               14800                1480
     27_13                  27                  13                   0                   0                   0                   0               15000                1500
     27_13                  27                  13                   0                   0                   0                   0               15200                1520
     27_13                  27                  13                   0                   0                   0                   0               15400                1540
     27_13                  27                  13                   0                   0                   0                   0               15600                1560
     27_13                  27                  13                   0                   0                   0                   0               15800                1580
     27_13                  27                  13                   0                   0                   0                   0               16000                1600
     27_13                  27                  13                   0                   0                   0                   0               16200                1620
