  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
      21_5             21.8631             4.99911             269.813                  12             8.68607             8.65934                 200                  20
      21_5             21.9965             3.22869             359.134                  10             11.1663             11.1643                 400                  40
      21_5             24.0099             3.00965             270.558                   8              22.475             22.4752                 600                  60
      21_5             24.9793             3.90643             180.559                   6             22.2238             22.2264                 800                  80
      21_5             24.9997             5.97105             180.569                   5                   0                   0                1000                 100
      21_5             24.9997             5.97105             180.569                   5                   0                   0                1200                 120
      21_5             24.9997             5.97105             180.569                   7                   0                   0                1400                 140
      21_5             24.9997             5.97105             180.569                  11                   0                   0                1600                 160
      21_5             24.9997             5.97105             180.569                  11                   0                   0                1800                 180
      21_5             24.9997             5.97105             180.569                  14                   0                   0                2000                 200
      21_5             24.9997             5.97105             180.569                  18                   0                   0                2200                 220
      21_5             24.9997             5.97105             180.569                  25                   0                   0                2400                 240
      21_5             24.9997             5.97105             180.569                  27                   0                   0                2600                 260
      21_5             25.0003             10.0107             179.995                  25             44.7716             44.7716                2800                 280
      21_5                  25             13.9723             248.748                  24               -3.66                3.66                3000                 300
      21_5             25.9739             14.2261             180.351                  21             12.0035             11.9868                3200                 320
      21_5             25.9979             19.5181             180.253                  21             16.1239             16.1239                3400                 340
      21_5             26.9718             19.9982             262.052                  18                3.66               -3.66                3600                 360
      21_5             26.9994             21.9608             180.899                  17             5.61553             5.61894                3800                 380
      21_5             28.3314             21.9999             269.819                  12              14.489             14.5284                4000                 400
      21_5             30.5552             22.0002             269.991                   8             17.9503             17.9535                4200                 420
      21_5             33.9707                  22             213.235                   7                3.66               -3.66                4400                 440
      21_5               33.99             26.5172             180.231                   6             35.4491             35.4491                4600                 460
      21_5              34.001             30.3758             179.996                   3             27.4497             27.4485                4800                 480
      21_5             34.0001             37.9499             179.993                   3             23.4322             23.4322                5000                 500
      21_5                  34             40.4751             180.003                   0                   0                   0                5200                 520
      21_5                  34             40.7294             180.001                   6             11.7531             11.7526                5400                 540
      21_5             34.0614             41.9756             269.383                   5             7.64381             7.54013                5600                 560
      21_5             34.9746             41.9983             181.084                   3                3.66               -3.66                5800                 580
      21_5             34.9908             41.5261             355.105                   0                   0                   0                6000                 600
      21_5             34.9908             41.5261             355.105                   0                   0                   0                6200                 620
      21_5             34.9908             41.5261             355.105                   0                   0                   0                6400                 640
      21_5             34.9908             41.5261             355.105                   0                   0                   0                6600                 660
      21_5             34.9908             41.5261             355.105                   0                   0                   0                6800                 680
      21_5             34.9908             41.5261             355.105                   0                   0                   0                7000                 700
      21_5             34.9908             41.5261             355.105                   0                   0                   0                7200                 720
      21_5             34.9908             41.5261             355.105                   0                   0                   0                7400                 740
      21_5             34.9908             41.5261             355.105                   0                   0                   0                7600                 760
      21_5             34.9908             41.5261             355.105                   0                   0                   0                7800                 780
      21_5             35.0018             40.0253             43.5095                  17               -3.66                3.66                8000                 800
      21_5             34.0273             39.9674            0.609522                  14             6.66839             6.77443                8200                 820
      21_5             33.4393              39.017             88.2237                  12             15.0517             14.9468                8400                 840
      21_5             33.0021             38.0288            0.803992                   9            0.323384           -0.323384                8600                 860
      21_5             32.9999              32.167                 360                   8             54.5326             54.5326                8800                 880
      21_5                  33             21.7645                 360                   8             30.2476             30.2476                9000                 900
      21_5             32.4791             20.0217             89.6309                   6              17.996             17.9991                9200                 920
      21_5             29.0291             20.0002             34.3724                   5                3.66               -3.66                9400                 940
      21_5             29.0194             15.3082            0.090286                   4             48.9671             48.9671                9600                 960
      21_5             29.0031             4.98785           0.0902856                   4             32.0128             32.0128                9800                 980
      21_5             28.5975             3.02609             89.7945                  22             16.2535             16.2722               10000                1000
      21_5             20.8521             3.00851             89.8734                  22             44.1232             44.1232               10200                1020
      21_5              17.023             3.00005             89.8734                  21                   0                   0               10400                1040
      21_5             17.8047             2.99892             269.849                  19             10.2272             10.1995               10600                1060
      21_5             17.9776             5.10118             180.087                  17             32.9635             32.9633               10800                1080
      21_5             17.9932             15.4573             180.086                  17             47.9317             47.9317               11000                1100
      21_5                  18             19.9742             235.358                  16               -3.66                3.66               11200                1120
      21_5             18.9738             20.1497               180.6                  13              10.237             10.2704               11400                1140
      21_5             19.0914              21.973             269.448                  15             8.89633             8.86062               11600                1160
      21_5             20.9737             22.0431             180.503                  13             7.31031             7.34086               11800                1180
      21_5             21.0046             23.9725               269.5                  11             5.91393             5.81651               12000                1200
      21_5             21.9742              24.497             180.173                   9             16.7686             16.7507               12200                1220
      21_5              21.989             32.7144               180.1                   9             56.2488             56.2488               12400                1240
      21_5                  22             38.9745             184.444                   8               -3.66                3.66               12600                1260
      21_5             23.9757             38.9996             267.832                   6                3.66               -3.66               12800                1280
      21_5             24.0004             40.3722             180.141                   7             15.1193             15.0774               13000                1300
      21_5             25.2066             40.9781             269.778                   5             25.2325             25.2344               13200                1320
      21_5             30.8824             40.9996             269.783                   9             9.05005             9.05005               13400                1340
      21_5             30.9982             41.9739             231.436                  11               -3.66                3.66               13600                1360
      21_5             32.8037             42.0005              270.03                  10             10.2284             10.2487               13800                1380
      21_5             34.9257             42.0001             270.026                   6              6.6974             6.70163               14000                1400
      21_5             36.9731                  42              270.01                   3                   0                   0               14200                1420
      21_5             36.9925             41.5259             355.152                   0                   0                   0               14400                1440
      21_5             36.9966             41.4741              355.82                  12               6.891             7.31532               14600                1460
      21_5             35.7589             41.0197             89.7594                  14              25.592             25.5934               14800                1480
      21_5             31.0277             41.0001             68.9432                  13                3.66               -3.66               15000                1500
      21_5             30.9998             39.4213           0.0761312                  15             14.7084             14.6858               15200                1520
      21_5             30.0288             39.0021             84.7892                  18                3.66               -3.66               15400                1540
