  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
      26_2             14.3876             1.99425             90.0288                   3             151.168             151.169                 200                  20
      26_2             3.00374             3.69561             179.785                  12             62.5322             62.5618                 400                  40
      26_2             3.39092             9.98636             269.528                   8             32.2091             32.2075                 600                  60
      26_2             17.4224             10.0005             270.005                   6             106.566             106.566                 800                  80
      26_2             23.9808             9.99996             340.973                   8            -9.55224             9.55224                1000                 100
      26_2             29.5982             9.00033              270.09                  11             30.8758             30.8702                1200                 120
      26_2             36.3786             9.00006             270.044                  13              32.142             32.1367                1400                 140
      26_2             44.1199              8.9998             270.005                  23             42.6291             42.6259                1600                 160
      26_2             46.7636             9.97998             269.539                  17             41.8398             41.8313                1800                 180
      26_2             50.4716             9.01116             270.823                  13             33.4867             33.5409                2000                 200
      26_2             51.9805             10.1589             180.545                   7             22.3114             22.3818                2200                 220
      26_2             52.9923             14.1043             180.151                   8             80.3874             80.3757                2400                 240
      26_2             52.9965             18.0276             354.354                   6               14.64              -14.64                2600                 260
      26_2             54.8944             17.0204             270.225                   1             44.7706             44.7363                2800                 280
      26_2             83.1893             17.0063             270.019                   1             197.306             197.306                3000                 300
      26_2             102.491                  17             270.019                   0                   0                   0                3200                 320
      26_2             102.491                  17             270.019                   0                   0                   0                3400                 340
      26_2             102.491                  17             270.019                   0                   0                   0                3600                 360
      26_2             102.491                  17             270.019                   0                   0                   0                3800                 380
      26_2             102.491                  17             270.019                   0                   0                   0                4000                 400
      26_2             102.826             13.0225             89.3832                   3             24.7302             24.6364                4200                 420
      26_2             102.994             11.2646             359.173                   5             24.6417             24.5907                4400                 440
      26_2             103.998             6.78834             359.807                   9             41.1938             41.2002                4600                 460
      26_2             103.002             3.17352            0.592052                   5             21.2643             21.2797                4800                 480
      26_2              103.99             2.52649             358.056                   0                   0                   0                5000                 500
      26_2              103.99             2.52649             358.056                   0                   0                   0                5200                 520
      26_2              103.99             2.52649             358.056                   0                   0                   0                5400                 540
      26_2              103.99             2.52649             358.056                   0                   0                   0                5600                 560
      26_2              103.99             2.52649             358.056                   0                   0                   0                5800                 580
      26_2             103.994             2.38605             358.311                   3             20.8293             20.9002                6000                 600
      26_2             105.484             2.99556             268.361                   0                   0                   0                6200                 620
      26_2             105.484             2.99556             268.361                   0                   0                   0                6400                 640
      26_2             105.484             2.99556             268.361                   0                   0                   0                6600                 660
      26_2             105.484             2.99556             268.361                   0                   0                   0                6800                 680
      26_2             105.484             2.99556             268.361                   0                   0                   0                7000                 700
      26_2             105.631             2.99938             268.616                   3             21.6478             21.7647                7200                 720
      26_2             105.989             2.52307             357.915                   0                   0                   0                7400                 740
      26_2             105.598             2.97857             90.5366                   7             31.6318             31.6609                7600                 760
      26_2                 104             3.07698            0.380295                   3              14.512             14.4939                7800                 780
      26_2             104.484             3.98297             266.944                   0                   0                   0                8000                 800
      26_2             104.484             3.98297             266.944                   0                   0                   0                8200                 820
      26_2             104.989             4.48124              182.18                   0                   0                   0                8400                 840
      26_2             104.989             4.48124              182.18                   0                   0                   0                8600                 860
      26_2             104.523             4.98942             92.1133                   0                   0                   0                8800                 880
      26_2             103.527              5.0056              89.519                   0                   0                   0                9000                 900
      26_2             103.024             5.25633             179.286                  15             25.9508             25.8316                9200                 920
      26_2                 103             12.9793             91.6005                  57             0.83224            -0.83224                9400                 940
      26_2             101.022             13.9934             20.4802                  51             10.3926            -10.3926                9600                 960
      26_2             94.1531             13.0015             89.9541                  48             66.7536             66.7551                9800                 980
      26_2             90.0171             12.9998             179.015                  44           -0.512414            0.512414               10000                1000
      26_2             87.0171             13.7353            0.629905                  39             27.5586             27.6378               10200                1020
      26_2             83.0132             13.2989             179.409                  35             29.1329             29.0754               10400                1040
      26_2             80.0093             13.2157             1.00667                  31             21.8559             21.9976               10600                1060
      26_2              75.013             13.4345              179.32                  27             33.3729             33.2846               10800                1080
      26_2             73.0083             13.0187             67.5771                  24            -11.9468             11.9468               11000                1100
      26_2             70.6106             13.9849             90.4531                  19             31.1306             31.1409               11200                1120
      26_2             67.3063             13.0037             89.4572                  17             26.2231             26.2068               11400                1140
      26_2             62.1282             13.9968             90.0735                  17             79.8604             79.8556               11600                1160
      26_2             57.6941             13.0099             89.7413                  19             53.1712             53.1928               11800                1180
      26_2             54.0001             9.06449            0.316253                  17             16.1986             16.1809               12000                1200
      26_2              70.928             9.00401             270.007                  15              185.19              185.19               12200                1220
      26_2             101.482             9.00019             270.007                  15             59.2596             59.2596               12400                1240
      26_2             104.059             7.02126             270.506                   9             17.7548             17.8111               12600                1260
      26_2             104.993              3.7029            0.260686                   3             29.0103             28.9542               12800                1280
      26_2             105.055             2.97341             269.387                   1             16.0236             15.8404               13000                1300
      26_2             105.485             2.98351             266.982                   0                   0                   0               13200                1320
      26_2             105.485             2.98351             266.982                   0                   0                   0               13400                1340
      26_2             105.523              3.0067             89.3634                   0                   0                   0               13600                1360
