  Robot ID  Current Position X  Current Position Y       Current Angle        Queue Length       Left Velocity      Right Velocity               Count            Sim Time
      11_6             3.27578             5.99926             90.1245                  10             27.0978             27.1012                 200                  20
      11_6             5.03894             8.98503             269.784                  12             66.1311             66.1493                 400                  40
      11_6             10.9868             9.00005             269.898                  19            -9.03577            -11.2545                 600                  60
      11_6             25.3875             9.00085             270.007                  19             115.939             115.939                 800                  80
      11_6              36.088             8.99999             269.994                  23             21.1731             21.1736                1000                 100
      11_6             44.5958             8.99999             269.999                  22             38.1242             38.1242                1200                 120
      11_6             51.9282                   9                 270                  18             17.1324             17.1324                1400                 140
      11_6             53.0611             7.01628             270.479                   9             16.9575             16.9925                1600                 160
      11_6             55.2408             6.00766             269.665                   3              26.586             26.6478                1800                 180
      11_6             62.4758             5.99903                 270                   0                   0                   0                2000                 200
      11_6             66.1587             5.99929              270.39                  10             23.7824             23.7445                2200                 220
      11_6             70.5744             5.99404             270.104                  12             29.8984             29.7843                2400                 240
      11_6             72.9793             5.00258             187.431                  12             3.86173            -3.86173                2600                 260
      11_6             73.4645             5.02032              270.54                   8             33.6113             33.6404                2800                 280
      11_6             79.9493             4.99955             269.921                  10             14.7003             14.6682                3000                 300
      11_6             83.9939             5.87107             180.969                   4             17.5797             17.7198                3200                 320
      11_6             83.9942             5.52251              359.54                   0                   0                   0                3400                 340
      11_6             83.9942             5.52251              359.54                   0                   0                   0                3600                 360
      11_6             83.9942             5.52251              359.54                   0                   0                   0                3800                 380
      11_6             83.9942             5.52251              359.54                   0                   0                   0                4000                 400
      11_6             87.7231             5.00087             270.105                   4             25.1166             25.1248                4200                 420
      11_6             92.1447             5.00011             270.017                   1             23.6979             23.6964                4400                 440
      11_6             101.982                   5             269.998                   0                   0                   0                4600                 460
      11_6             101.982                   5             269.998                   0                   0                   0                4800                 480
      11_6             102.992             6.97283             181.228                   3               14.64              -14.64                5000                 500
      11_6             103.476             6.98422             267.246                   0                   0                   0                5200                 520
      11_6             105.986             6.41994             359.589                   3             36.9311             36.9412                5400                 540
      11_6             105.027             3.99625              89.102                   3            -3.95681             -104.76                5600                 560
      11_6             105.016             4.48283             177.029                   0                   0                   0                5800                 580
      11_6             105.016             4.48283             177.029                   0                   0                   0                6000                 600
      11_6                 105             4.83442             177.609                   4             18.9017             19.1047                6200                 620
      11_6             104.519             4.98922             92.1606                   0                   0                   0                6400                 640
      11_6             104.519             4.98922             92.1606                   0                   0                   0                6600                 660
      11_6             104.519             4.98922             92.1606                   0                   0                   0                6800                 680
      11_6             104.519             4.98922             92.1606                   0                   0                   0                7000                 700
      11_6             104.006             6.98267             90.4526                  10              -14.64               14.64                7200                 720
      11_6             103.737             9.97828             91.1623                   1             22.1996             22.5968                7400                 740
      11_6              103.01              11.237             178.843                   1             24.3084             24.2037                7600                 760
      11_6                 103             16.8597             179.986                  17             48.5186             48.5193                7800                 780
      11_6             102.302             20.9778             90.5008                  10             40.0206             40.0288                8000                 800
      11_6             98.4579             21.9865             90.2906                   6             57.6223             57.6076                8200                 820
      11_6             95.7628             22.0047             269.764                   3             42.1585             42.2074                8400                 840
      11_6             99.9905             21.5173             357.958                   0                   0                   0                8600                 860
      11_6             99.9905             21.5173             357.958                   0                   0                   0                8800                 880
      11_6              100.26             21.0257             270.521                  12             25.9426             25.9762                9000                 900
      11_6             103.046             20.0264             270.444                   3             16.9008              16.923                9200                 920
      11_6             104.996             12.7284             359.952                   1             102.984             102.985                9400                 940
      11_6                 105             7.51542             359.957                   0                   0                   0                9600                 960
      11_6                 105             7.51542             359.957                   0                   0                   0                9800                 980
      11_6                 105             7.51542             359.957                   0                   0                   0               10000                1000
      11_6                 105             5.52183           0.0158592                   0                   0                   0               10200                1020
      11_6                 105             5.52183           0.0158592                   0                   0                   0               10400                1040
      11_6                 105             4.60904             359.993                   1             16.5232             16.5164               10600                1060
      11_6                 105             3.51975             359.999                   0                   0                   0               10800                1080
      11_6             104.994             4.21696              179.89                  10             50.6713             50.7301               11000                1100
      11_6             104.009             7.06704             180.387                  12              18.253             18.1834               11200                1120
      11_6             103.772             12.9805             90.6213                  14             27.1325             27.2235               11400                1140
      11_6             103.001             18.6249             179.985                  10             82.7273             82.7249               11600                1160
      11_6              97.096                  22             90.0209                   8             48.3438             48.3399               11800                1180
      11_6             95.7949             21.0192             89.6384                   5             24.4209              24.453               12000                1200
      11_6             71.3557             21.0046             89.9847                   9             187.065             187.065               12200                1220
      11_6             54.0202             20.7441            0.406386                   7             34.0816             34.0475               12400                1240
      11_6             53.9993             10.4078             359.966                   5              30.204             30.1963               12600                1260
      11_6             54.0941             2.01594             270.429                   1             22.4233             22.3877               12800                1280
      11_6             77.9666             2.00243             270.009                   1             177.047             177.047               13000                1300
      11_6             93.4935                   2             270.009                   0                   0                   0               13200                1320
      11_6             93.4935                   2             270.009                   0                   0                   0               13400                1340
      11_6             93.4935                   2             270.009                   0                   0                   0               13600                1360
